frequency (Hz),V in (V rms),Sigma V in (V rms),V out (V rms),Sigma V out (V)
100,0.099779,0.000001,0.0064,0.0001
200,0.099891,0.000001,0.1177,0.0001
300,0.09988,0.000003,0.4963,0.0002
400,0.099882,0.000001,0.7114,0.0002
500,0.099873,0.000001,0.7868,0.0003
600,0.099867,0.000001,0.8265,0.0002
700,0.099864,0.000001,0.8523,0.0002
800,0.099875,0.000001,0.8699,0.0002
900,0.099872,0.000001,0.8826,0.0002
1000,0.099796,0.000001,0.891,0.001
2000,0.099794,0.000001,0.9201,0.0002
3000,0.099793,0.000001,0.919,0.001
4000,0.099791,0.000001,0.912,0.001
5000,0.099789,0.000001,0.9031,0.0003
6000,0.099786,0.000001,0.8924,0.0003
7000,0.099785,0.000001,0.8802,0.0001
8000,0.099783,0.000001,0.8666,0.0002
9000,0.09978,0.000001,0.8517,0.0002
10000,0.099776,0.000001,0.8353,0.0002
11000,0.099773,0.000001,0.8173,0.0002
12000,0.099772,0.000001,0.7973,0.0003
13000,0.099769,0.000001,0.7747,0.0002
14000,0.099766,0.000001,0.7488,0.0001
15000,0.099764,0.000001,0.719,0.001
16000,0.09976,0.000001,0.6841,0.0001
17000,0.099757,0.000001,0.6441,0.0001
18000,0.099753,0.000001,0.5988,0.0002
19000,0.09975,0.000001,0.5491,0.0002
20000,0.099746,0.000001,0.4965,0.0002
21000,0.099743,0.000001,0.4431,0.0002
22000,0.099741,0.000001,0.3907,0.0001
23000,0.099738,0.000001,0.3413,0.0003
24000,0.099735,0.000001,0.2961,0.0001
25000,0.099732,0.000001,0.2556,0.0001
26000,0.099729,0.000001,0.22,0.0001
27000,0.099726,0.000001,0.1892,0.0001
28000,0.099723,0.000001,0.1626,0.0001
29000,0.099721,0.000001,0.1399,0.0001
30000,0.099719,0.000001,0.1205,0.0001
31000,0.099715,0.000001,0.104,0.0001
32000,0.099712,0.000001,0.09002,0.00001
33000,0.099708,0.000001,0.07805,0.00002
34000,0.099705,0.000001,0.06785,0.00001
35000,0.099703,0.000001,0.05914,0.00003
36000,0.099701,0.000001,0.05166,0.00001
37000,0.099698,0.000001,0.04525,0.00001
38000,0.099696,0.000001,0.03974,0.00002
39000,0.099693,0.000001,0.035,0.0001
40000,0.099691,0.000001,0.0308,0.0001
